levels;alpha_beta;method;trial;turns;outcome;real_time;date;time
2;0;simple;16;57;whites_won;0.9529011249542236;2022-05-19;00:27:26.243046
2;0;simple;17;57;whites_won;0.9529008865356445;2022-05-19;00:27:27.195948
2;0;simple;18;22;black_won;0.5936102867126465;2022-05-19;00:27:28.148849
2;0;simple;19;68;draw;6.584460973739624;2022-05-19;00:27:28.742459
2;0;simple;20;30;black_won;0.6243307590484619;2022-05-19;00:27:35.328914
2;0;simple;21;94;draw;8.205058574676514;2022-05-19;00:27:35.954242
2;0;simple;22;31;whites_won;0.5046505928039551;2022-05-19;00:27:44.162293
2;0;simple;23;29;whites_won;0.47267699241638184;2022-05-19;00:27:44.668938
2;0;simple;24;34;black_won;0.6873385906219482;2022-05-19;00:27:45.141616
2;0;simple;25;68;draw;6.522055625915527;2022-05-19;00:27:45.828954
2;0;simple;26;43;whites_won;0.7430129051208496;2022-05-19;00:27:52.353005
2;0;simple;27;25;whites_won;0.5654878616333008;2022-05-19;00:27:53.097015
2;0;simple;28;43;whites_won;0.6622297763824463;2022-05-19;00:27:53.664497
2;0;simple;29;64;draw;6.668861150741577;2022-05-19;00:27:54.327724
2;0;simple;30;75;draw;6.956462144851685;2022-05-19;00:28:00.996585
2;0;simple;31;74;draw;7.028971910476685;2022-05-19;00:28:07.955042
2;0;simple;32;68;draw;6.569432020187378;2022-05-19;00:28:14.987006
2;0;simple;33;31;whites_won;0.6532530784606934;2022-05-19;00:28:21.559430
2;0;simple;34;31;whites_won;0.6851675510406494;2022-05-19;00:28:22.213681
2;0;simple;35;43;whites_won;0.7549803256988525;2022-05-19;00:28:22.899847
2;0;simple;36;68;draw;6.525416851043701;2022-05-19;00:28:23.656822
2;0;simple;37;57;whites_won;1.0934934616088867;2022-05-19;00:28:30.182239
2;0;simple;38;31;whites_won;0.6092314720153809;2022-05-19;00:28:31.275732
2;0;simple;39;22;black_won;0.7029602527618408;2022-05-19;00:28:31.884964
2;0;simple;40;31;whites_won;0.6873378753662109;2022-05-19;00:28:32.587924
2;0;simple;41;34;black_won;0.749823808670044;2022-05-19;00:28:33.275262
2;0;simple;42;22;black_won;0.6248524188995361;2022-05-19;00:28:34.025086
2;0;simple;43;57;whites_won;0.9269881248474121;2022-05-19;00:28:34.649938
2;0;simple;44;68;draw;6.820765018463135;2022-05-19;00:28:35.578921
2;0;simple;45;43;whites_won;0.718580961227417;2022-05-19;00:28:42.399686
2;0;simple;46;41;whites_won;0.640474796295166;2022-05-19;00:28:43.118267
2;0;simple;47;68;draw;6.578775882720947;2022-05-19;00:28:43.758742
2;0;simple;48;29;whites_won;0.4747312068939209;2022-05-19;00:28:50.340510
2;0;weighted;0;36;black_won;0.9612424373626709;2022-05-19;00:26:41.780210
2;0;weighted;1;18;black_won;0.49988293647766113;2022-05-19;00:26:42.741452
2;0;weighted;2;20;black_won;0.6404745578765869;2022-05-19;00:26:43.241335
2;0;weighted;3;16;black_won;0.734138011932373;2022-05-19;00:26:43.881810
2;0;weighted;4;36;black_won;1.3121914863586426;2022-05-19;00:26:44.615948
2;0;weighted;5;58;black_won;2.1784801483154297;2022-05-19;00:26:45.928139
2;0;weighted;6;35;whites_won;1.330441951751709;2022-05-19;00:26:48.112602
2;0;weighted;7;18;black_won;0.5754613876342773;2022-05-19;00:26:49.444042
2;0;weighted;8;50;black_won;1.9348266124725342;2022-05-19;00:26:50.020500
2;0;weighted;9;53;whites_won;1.487023115158081;2022-05-19;00:26:51.956324
2;0;weighted;10;52;black_won;1.285562515258789;2022-05-19;00:26:53.444345
2;0;weighted;11;50;black_won;1.7283780574798584;2022-05-19;00:26:54.729907
2;0;weighted;12;52;black_won;1.4870233535766602;2022-05-19;00:26:56.459282
